Name,Price (€),Cantidad,Uniform Price (€),Super
"Aceite de oliva 0,4º URZANTE, botella 1 litro",8.99,1 litro,8.99,Eroski
VERDE SEGURA Aceite de oliva virgen extra garrafa de 2 l.,18.44,2000ml,9.22,Alcampo
OLIVAR CENTENARIO Aceite de oliva virgen extra garrafa de 5 l.,47.58,5000ml,9.52,Alcampo
FRUTO DEL SUR Aceite de oliva virgen extra garrafa de 5 l.,47.58,5000ml,9.52,Alcampo
LA ESPAÑOLA Aceite de oliva suave garrafa de 5 l.,47.99,5000ml,9.6,Alcampo
LA ESPAÑOLA Aceite de oliva intenso 5 l.,47.99,5000ml,9.6,Alcampo
LA ESPAÑOLA Aceite de oliva intenso botella 1 l.,9.78,1000ml,9.78,Alcampo
LA ESPAÑOLA Aceite de oliva suave botella 1 l.,9.78,1000ml,9.78,Alcampo
LA ESPAÑOLA Aceite de oliva virgen extra garrafa de 5 l.,49.51,5000ml,9.9,Alcampo
MAESTROS DE HOJIBLANCA Aceite de oliva virgen extra garrafa de 5 l.,49.97,5000ml,9.99,Alcampo
CARBONELL Aceite de oliva suave botella 1 l.,9.99,1000ml,9.99,Alcampo
OLIVAR DE SEGURA Aceite de oliva virgen extra picual  D.O.P Segura lata de 5 l.,50.5,5000ml,10.1,Alcampo
CARBONEL SABOR  Aceite de oliva intenso botella 1 l.,10.16,1000ml,10.16,Alcampo
"Aceite de oliva virgen extra EROSKI, botella 75 cl",7.75,75 cl,10.33,Eroski
YBARRA Aceite de oliva suave garrafa 5 l.,53.42,5000ml,10.68,Alcampo
OLEO CAZORLA Aceite de oliva virgen extra D.O.P Sierra de Cazorla lata de 5 l.,53.42,5000ml,10.68,Alcampo
Aceite de oliva suave Carbonell botella 1 l,10.69,1000 ml,10.69,Dia
Aceite de oliva intenso Carbonell botella 1 l,10.69,1000 ml,10.69,Dia
"Aceite de oliva 0,4º CARBONELL, botella 1 litro",10.69,1 litro,10.69,Eroski
Aceite de oliva virgen Coosur botella 1 l,10.7,1000 ml,10.7,Dia
CARBONELL Extra suave Aceite de oliva 1 l.,10.82,1000ml,10.82,Alcampo
Aceite de oliva suave La española botella 1 l,10.99,1000 ml,10.99,Dia
YBARRA Aceite de oliva suave lata de 5 l.,55.36,5000ml,11.07,Alcampo
Aceite de oliva virgen extra Dcoop garrafa 3 l,33.29,2999 ml,11.1,Dia
LA ESPAÑOLA Aceite de oliva suave lata de 5 l.,55.78,5000ml,11.16,Alcampo
CARBONELL Aceite de oliva suave garrafa de 5 l.,55.9,5000ml,11.18,Alcampo
"Aceite de oliva v. extra CARBONELL G. SELECCIÓN, botella 75 cl",8.49,75 cl,11.32,Eroski
VALDEZARZA Aceite de oliva virgen extra lata 3 l.,33.99,3000ml,11.33,Alcampo
COOSUR Aceite de oliva suave botella de 1 l.,11.54,1000ml,11.54,Alcampo
Aceite de oliva virgen extra procedente aceitunas tempranas variedad picuda MUELOLIVA lata de 5 l.,58.27,5000ml,11.65,Alcampo
LA ESPAÑOLA Aceite de oliva virgen extra lata de 5 l.,58.27,5000ml,11.65,Alcampo
Aceite de oliva virgen extra Dcoop botella 1 l,11.86,1000 ml,11.86,Dia
"Aceite de oliva virgen CARBONELL, botella 1 litro",11.95,1 litro,11.95,Eroski
COOSUR Aceite de oliva intenso botella de 1 l.,12.12,1000ml,12.12,Alcampo
CARBONELL GRAN SELECCION  Aceite de oliva virgen extra lata de 5 l.,60.94,5000ml,12.19,Alcampo
KOIPE SABOR  Aceite de oliva botella de 1 l.,12.37,1000ml,12.37,Alcampo
"Aceite oliva virgen extra Picual COOSUR, botella 1 litro",12.49,1 litro,12.49,Eroski
"Aceite oliva virgen extra Arbequina COOSUR, botella 1 litro",12.49,1 litro,12.49,Eroski
"Aceite oliva virgen extra Hojiblanca COOSUR, botella 1 litro",12.49,1 litro,12.49,Eroski
Aceite de oliva virgen extra Jaencoop botella 1 l,12.62,1000 ml,12.62,Dia
"Aceite de oliva virgen COOSUR Serie Oro, botella 1 litro",13.07,1 litro,13.07,Eroski
"Aceite de oliva virgen extra CARBONELL, botella 1 litro",13.79,1 litro,13.79,Eroski
Aceite de oliva virgen extra Carbonell botella 1 l,13.8,1000 ml,13.8,Dia
"Aceite de oliva virgen extra HOJIBLANCA, botella 1 litro",13.9,1 litro,13.9,Eroski
Aceite de oliva virgen extra Hojiblanca botella 1 l,13.9,1000 ml,13.9,Dia
Aceite de oliva virgen extra Carbonell botella 750 ml,10.58,750 ml,14.11,Dia
Aceite de oliva virgen extra a la trufa blanca La española botella 250 ml,3.79,250 ml,15.16,Dia
Aceite de oliva virgen extra al ajo La española botella 250 ml,3.79,250 ml,15.16,Dia
Aceite de oliva virgen extra Hojiblanca botella 500 ml,7.59,500 ml,15.18,Dia
Aceite de oliva virgen extra Jaencoop botella 250 ml,3.88,250 ml,15.52,Dia
Aceite de oliva virgen extra ecológico Oro de Génave botella 500 ml,7.76,500 ml,15.52,Dia
CARBONELL Aceite de oliva spray especial plancha  Sabor bote de 200 ml.,3.35,200ml,16.75,Alcampo
Aceite de oliva virgen extra Carbonell spray 200 ml,4.26,200 ml,21.3,Dia
"Aceite de oliva virgen extra CARBONELL, spray  20 cl",4.26,20 cl,21.3,Eroski
Aceite de oliva virgen extra y aroma de trufa La española spray 200 ml,4.37,200 ml,21.85,Dia
